Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     43.51     0.00       63     0.00     0.00  leap_storage_database_install_table_with_pk
  0.00     43.51     0.00       63     0.00     0.00  leap_table_constraint_list_release
  0.00     43.51     0.00       63     0.00     0.00  lower_dup_cstr
  0.00     43.51     0.00       63     0.00     0.00  table_clear_column_names
  0.00     43.51     0.00       63     0.00     0.00  table_clear_rows
  0.00     43.51     0.00       63     0.00     0.00  table_populate_column_names
  0.00     43.51     0.00       63     0.00     0.00  table_populate_rows
  0.00     43.51     0.00       63     0.00     0.00  table_release
  0.00     43.51     0.00       63     0.00     0.00  xstrdup_cstr
  0.00     43.51     0.00        2     0.00     0.00  leap_select_stmt_destroy
  0.00     43.51     0.00        2     0.00     0.00  now_seconds
  0.00     43.51     0.00        1     0.00     0.00  catalog_destroy
  0.00     43.51     0.00        1     0.00     0.00  catalog_init
  0.00     43.51     0.00        1     0.00     0.00  leap_storage_database_destroy
  0.00     43.51     0.00        1     0.00     0.00  leap_storage_database_new

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2022 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 0.02% of 43.51 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     98.4    0.00   42.83                 main [1]
                0.00   28.75   26219/26219       run_insert [3]
                0.00   14.08   13229/13229       run_select [5]
                0.00    0.00      64/64          run_create_table [57]
                0.00    0.00   65653/65653       classify [117]
                0.00    0.00       2/2           now_seconds [227]
                0.00    0.00       1/1           catalog_init [229]
                0.00    0.00       1/1           catalog_destroy [228]
-----------------------------------------------
                0.82   13.24   12603/38375       run_select [5]
                1.68   27.06   25772/38375       run_insert [3]
[2]     98.4    2.50   40.30   38375         leap_vdbe_execute_program [2]
                6.54   16.17 576562842/576562842     leap_opcode_rows_execute [4]
                2.24    4.49 1391376501/1391376501     leap_opcode_core_execute [6]
                4.22    0.00 3353966089/3353966089     leap_vdbe_dispatch [8]
                0.81    3.35 693019930/693019930     leap_opcode_expr_execute [9]
                1.25    0.00 4178536148/4178536148     continue_outcome [20]
                0.37    0.35 693006816/693006816     leap_opcode_control_execute [24]
                0.39    0.00 1391337928/1391337928     continue_outcome [27]
                0.11    0.00 693019930/693019930     continue_outcome [33]
                0.01    0.00 693006223/693006223     jump_to [39]
                0.00    0.00     198/198         sink [60]
                0.00    0.00 692993990/692993990     jump_to [63]
                0.00    0.00   38375/38375       halt_ok_outcome [126]
                0.00    0.00     593/593         continue_outcome [203]
                0.00    0.00     198/198         emit_row_outcome [211]
-----------------------------------------------
                0.00   28.75   26219/26219       main [1]
